cityCode,index,countryCode,countryName,cityName,latitude,longitude,radius,yearMotorway,yearHST,Index,pop1950,pop1955,pop1960,pop1965,pop1970,pop1975,pop1980,pop1985,pop1990,pop1995,pop2000,pop2005,pop2010,pop2015,pop2020,pop2025,pop2030,nbOri,nbDes
20107,42,40,Austria,Wien (Vienna),48.206443,16.370725,NA,NA,NA,42,1615,1621,1627,1624,1621,1583,1539,1535,1539,1544,1549,1641,1700,1753,1808,1878,1959,51,52
20144,64,56,Belgium,Bruxelles-Brussel,50.846735,4.349919,NA,NA,1997,64,1415,1449,1485,1525,1568,1610,1654,1676,1695,1715,1792,1873,1958,2045,2115,2164,2203,29,30
20327,132,100,Bulgaria,Sofia,42.69751,23.32415,NA,NA,NA,132,522,616,708,806,888,977,1074,1181,1191,1168,1128,1169,1200,1226,1241,1242,1230,9,8
20348,60,112,Belarus,Minsk,53.9,27.56667,NA,NA,NA,60,284,414,551,719,932,1120,1320,1481,1618,1654,1700,1775,1847,1915,1953,1960,1942,NA,NA
20887,599,203,Czech Republic,Praha (Prague),50.08804,14.42076,NA,NA,NA,599,935,967,1001,1038,1076,1126,1179,1197,1212,1194,1172,1211,1261,1314,1364,1403,1437,13,12
20894,620,208,Denmark,København (Copenhagen),55.67594,12.56553,NA,NA,NA,620,1216,1227,1284,1373,1380,1172,1096,1056,1035,1048,1077,1127,1192,1268,1333,1395,1455,35,33
20937,646,246,Finland,Helsinki,60.169246,24.940216,NA,NA,NA,646,366,405,448,478,507,582,674,723,871,943,1019,1067,1122,1180,1226,1263,1293,17,17
20969,653,250,France,Lille,50.63297,3.05858,NA,1968,1993,653,751,767,814,863,906,937,956,969,979,991,1002,1010,1018,1027,1056,1097,1142,NA,NA
20972,654,250,France,Lyon,45.74846,4.84671,NA,1970,1983,654,731,768,904,1027,1116,1178,1278,1336,1370,1404,1443,1496,1551,1609,1682,1749,1814,7,7
20973,655,250,France,Marseille-Aix-en-Provence,43.528414,5.443298,NA,1970,2001,655,756,798,929,1069,1182,1258,1372,1415,1418,1444,1474,1516,1560,1605,1669,1735,1798,6,6
20985,659,250,France,Paris,48.85341,2.3488,NA,1968,1983,659,6283,6796,7411,7855,8208,8558,8669,8956,9330,9510,9737,10092,10460,10843,11271,11565,11803,85,85
21011,670,268,Georgia,Tbilisi,41.69411,44.83368,NA,NA,NA,670,612,659,718,803,897,992,1090,1177,1224,1160,1100,1100,1127,1147,1137,1127,1119,2,2
21113,697,300,Greece,Athínai (Athens),37.95342,23.74897,NA,NA,NA,697,1347,1563,1814,2121,2485,2738,2987,3047,3070,3122,3179,3146,3098,3052,3062,3122,3169,7,7
21138,707,348,Hungary,Budapest,47.49801,19.03991,NA,NA,NA,707,1618,1714,1811,1878,1946,2005,2057,2036,2005,1893,1787,1756,1734,1714,1728,1776,1811,7,7
21542,945,372,Ireland,Dublin,53.33306,-6.24889,NA,NA,NA,945,626,647,661,723,771,833,903,920,916,946,989,1037,1100,1169,1260,1364,1467,2,2
21571,963,380,Italy,Milano (Milan),45.55307,9.18344,NA,NA,NA,963,1883,2099,2395,2695,3017,3133,3168,3128,3063,3020,2985,3010,3056,3099,3124,3142,3162,16,15
21574,965,380,Italy,Napoli (Naples),40.850178,14.259213,NA,NA,NA,965,1498,1617,1758,1880,2000,2096,2186,2209,2208,2218,2232,2227,2216,2202,2193,2205,2226,7,4
21588,972,380,Italy,Roma (Rome),41.894743,12.481142,NA,NA,NA,972,1884,2143,2456,2780,3135,3300,3390,3429,3450,3425,3385,3465,3592,3718,3796,3823,3842,50,53
21597,976,380,Italy,Torino (Turin),45.068672,7.677218,NA,NA,NA,976,1011,1149,1348,1547,1760,1838,1860,1827,1775,1733,1694,1706,1737,1765,1785,1804,1825,4,5
21930,1120,528,Netherlands,Amsterdam,52.37403,4.88969,NA,NA,NA,1120,851,871,895,942,927,978,941,907,936,988,1005,1024,1057,1091,1140,1182,1213,28,27
22161,1239,616,Poland,Warszawa (Warsaw),52.22977,21.01178,NA,NA,NA,1239,768,942,1119,1212,1300,1444,1565,1596,1628,1652,1666,1684,1703,1722,1751,1771,1791,6,6
22167,1241,620,Portugal,Lisboa (Lisbon),38.71686,-9.139867,NA,NA,NA,1241,1304,1405,1514,1657,1817,2103,2449,2518,2537,2600,2672,2742,2812,2884,2995,3108,3192,27,25
22168,1242,620,Portugal,Porto,41.14961,-8.61099,NA,NA,NA,1242,730,783,840,882,924,1008,1104,1139,1164,1206,1254,1272,1285,1299,1339,1395,1443,4,4
22191,1273,642,Romania,Bucuresti (Bucharest),44.432787,26.104302,NA,NA,NA,1273,652,856,1002,1154,1396,1702,1865,1950,2040,2018,1949,1912,1889,1868,1873,1918,1939,10,10
22525,1378,724,Spain,Barcelona,41.38879,2.15899,NA,NA,NA,1378,1809,2103,2468,2930,3482,3679,3837,3969,4101,4227,4355,4612,4934,5258,5478,5604,5685,24,23
22549,1382,724,Spain,Madrid,40.4165,-3.70256,NA,NA,NA,1382,1700,2018,2392,2898,3521,3890,4253,4355,4414,4688,5014,5383,5787,6199,6476,6621,6707,38,39
22597,1400,752,Sweden,Stockholm,59.33258,18.0649,NA,NA,NA,1400,741,772,805,1003,1035,1015,992,1012,1038,1138,1206,1248,1360,1486,1589,1678,1757,38,42
22606,1405,756,Switzerland,Zürich (Zurich),47.35785,8.50296,NA,NA,NA,1405,494,514,535,614,711,713,707,836,1006,1048,1078,1130,1186,1246,1323,1406,1494,34,35
22647,1430,792,Turkey,Adana,37.00167,35.32889,NA,NA,NA,1430,138,197,272,342,402,471,568,763,907,1011,1123,1320,1558,1830,2049,2214,2351,1,1
22656,1431,792,Turkey,Ankara,39.91987,32.85427,NA,NA,NA,1431,281,439,635,954,1341,1709,1891,2213,2561,2842,3179,3638,4166,4750,5208,5571,5875,2,2
