cityCode,index,countryCode,countryName,cityName,latitude,longitude,radius,yearMotorway,yearHST,Index,pop1950,pop1955,pop1960,pop1965,pop1970,pop1975,pop1980,pop1985,pop1990,pop1995,pop2000,pop2005,pop2010,pop2015,pop2020,pop2025,pop2030,nbOri,nbDes
20002,2,4,Afghanistan,Kabul,34.528887,69.17246,NA,NA,NA,2,171,221,285,369,472,674,978,1240,1549,1929,2401,2989,3722,4635,5722,6932,8280,NA,NA
20006,8,12,Algeria,El Djazaïr  (Algiers),36.7525,3.04197,NA,NA,NA,8,516,623,872,1081,1281,1507,1621,1672,1797,1973,2141,2282,2432,2594,2835,3149,3405,3,4
20049,13,24,Angola,Luanda,-8.83682,13.23432,NA,NA,NA,13,138,174,219,315,459,599,771,1018,1390,1899,2591,3533,4508,5506,6837,8567,10429,1,2
20050,12,24,Angola,Huambo,-12.77611,15.73917,NA,NA,NA,12,15,24,37,48,61,95,153,232,326,444,578,751,976,1269,1642,2078,2537,NA,NA
20053,43,31,Azerbaijan,Baku,40.37767,49.89201,NA,NA,NA,43,897,940,1005,1132,1274,1429,1574,1660,1733,1766,1806,1867,2062,2374,2629,2818,2971,4,4
20058,16,32,Argentina,Buenos Aires,-34.605083,-58.400368,NA,NA,NA,16,5098,5799,6598,7317,8105,8745,9422,9959,10513,11390,12407,13330,14246,15180,15894,16479,16956,3,3
20059,17,32,Argentina,Córdoba,-31.4135,-64.18105,NA,NA,NA,17,429,510,605,701,810,905,1010,1102,1200,1275,1348,1406,1459,1511,1563,1639,1718,NA,NA
20068,21,32,Argentina,Mendoza,-32.89084,-68.82717,NA,NA,NA,21,246,284,328,394,473,537,608,680,759,802,838,889,949,1009,1064,1123,1181,NA,NA
20075,25,32,Argentina,Rosario,-32.94682,-60.63932,NA,NA,NA,25,554,610,671,740,816,883,953,1017,1084,1121,1152,1217,1298,1381,1454,1532,1607,NA,NA
20107,42,40,Austria,Wien (Vienna),48.206443,16.370725,NA,NA,NA,42,1615,1621,1627,1624,1621,1583,1539,1535,1539,1544,1549,1641,1700,1753,1808,1878,1959,51,52
20115,49,50,Bangladesh,Chittagong,22.33306,91.83639,NA,NA,NA,49,289,323,360,503,723,1017,1340,1655,2023,2578,3308,3717,4106,4539,5155,5936,6719,1,NA
20119,51,50,Bangladesh,Dhaka,23.7104,90.40744,NA,NA,NA,51,336,409,508,821,1374,2221,3266,4660,6621,8332,10285,12331,14731,17598,20989,24331,27374,4,4
20124,52,50,Bangladesh,Khulna,22.80978,89.56439,NA,NA,NA,52,61,87,123,194,310,472,627,790,985,1117,1247,1182,1098,1022,1039,1173,1336,NA,NA
20140,32,51,Armenia,Yerevan,40.181998,44.514619,NA,NA,NA,32,341,431,538,648,778,911,1042,1123,1175,1142,1111,1087,1066,1044,1024,1040,1057,2,2
20144,64,56,Belgium,Bruxelles-Brussel,50.846735,4.349919,NA,NA,1997,64,1415,1449,1485,1525,1568,1610,1654,1676,1695,1715,1792,1873,1958,2045,2115,2164,2203,29,30
20152,70,68,Bolivia (Plurinational State of),Cochabamba,-17.3895,-66.1568,NA,NA,NA,70,94,112,134,160,191,228,289,374,485,599,721,867,1042,1240,1401,1554,1703,NA,NA
20153,71,68,Bolivia (Plurinational State of),La Paz,-16.5,-68.15,NA,NA,NA,71,319,374,438,512,600,703,809,927,1062,1267,1390,1524,1672,1816,1932,2112,2308,NA,NA
20157,72,68,Bolivia (Plurinational State of),Santa Cruz,-17.79891,-63.169825,NA,NA,NA,72,42,59,84,118,166,234,324,447,616,833,1054,1332,1684,2107,2455,2736,2989,NA,NA
20182,79,76,Brazil,Belém,-1.456142,-48.478988,NA,NA,NA,79,242,303,378,477,601,706,827,987,1179,1424,1724,1869,2023,2182,2315,2436,2540,NA,NA
20183,80,76,Brazil,Belo Horizonte,-19.92083,-43.93778,NA,NA,NA,80,412,567,782,1078,1485,1906,2441,2946,3548,4149,4807,5103,5409,5716,5969,6222,6439,NA,NA
20187,83,76,Brazil,Brasília,-15.77972,-47.92972,NA,NA,NA,83,36,70,137,268,525,827,1293,1559,1863,2322,2932,3301,3710,4155,4510,4751,4929,1,1
